Model,Predictors,R2,BIC,BMA_weight
M4_baseline_lvef,log_Baseline_risk + LVEF,1.0,-204.30484440841514,0.74293667479428
M5_baseline_era,log_Baseline_risk + Era,1.0,-200.65297783349132,0.11966276855551687
M3_baseline_gdmt,log_Baseline_risk + GDMT,1.0,-199.56031642251992,0.06929320289476963
M6_full_additive,log_Baseline_risk + LVEF + Pct_ischemic + GDMT,1.0,-199.5088189583426,0.06753176548576596
M2_baseline_ischemic,log_Baseline_risk + Pct_ischemic,1.0,-189.97889741742313,0.0005755882696674976
M8_gdmt_only,GDMT,0.998381850984059,-9.967944183713325,4.690618356099093e-43
M1_baseline_only,log_Baseline_risk,0.9579921464979149,-0.19822315660852663,3.5461910785251787e-45
M7_ischemic_only,Pct_ischemic,0.9241230034718922,1.5755477638032684,1.460806428686248e-45
