Trial/Meta-Analysis,Original_NNT,Modern_NNT_Conservative,Modern_NNT_Base,Modern_NNT_Optimistic,NNT_Increase_pct
MADIT-II (2002),17.9,27.5,27.7,39.7,55.1
SCD-HeFT (2005),14.3,22.0,25.5,31.7,78.4
Golwala Meta (2017),16.7,25.7,28.4,37.2,70.0
